Organization Name,Organization Name URL,Industries,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,CB Rank (Company),Number of Funding Rounds,LinkedIn,Website,Founders,Estimated Revenue Range,Trend Score (90 Days),Top 5 Investors,Headquarters Location,Investment Stage
JOANY,https://www.crunchbase.com/organization/impact-health,"Health Care, Insurance, Internet, SaaS","Joany is your trusted healthcare concierge. We simplify buying and using health insurance, all year long.",13000000,USD,13000000,Series A,410,7,https://www.linkedin.com/company/joany/?originalSubdomain=in,https://Joany.com,"Christine Carrillo, Helen Lee",$1M to $10M,9.7,"Techstars, Precursor Ventures, Right Side Capital Management, Foundry Group, Wavemaker Partners","Los Angeles, California, United States",
Assembly,https://www.crunchbase.com/organization/assembly,"Apps, Collaboration, Crowdsourcing, Software, Web Design","Assembly is a web collaboration platform that enables users to develop apps, widgets, platforms, and APIs with the help of other users.",,,,Seed,"5,967",3,https://www.linkedin.com/company/assembly-inc,http://assemblymade.com,"Chris Lloyd, Dave Newman, Matthew Deiters",,7.6,"Y Combinator, Floodgate, BoxGroup, Union Square Ventures, Thrive Capital","San Francisco, California, United States",
Filament,https://www.crunchbase.com/organization/filamenthq,"Bitcoin, Blockchain, Hardware, Industrial, Internet of Things, Software",Filament builds blockchain hardware and& software solutions for enterprise and IoT.,15000000,USD,15000000,Series A,"6,356",8,https://www.linkedin.com/company/filament-networks/,https://filament.com,"Allison Clift-Jennings, Jeremie Miller, Sally Carson",Less than $1M,-0.6,"AngelList, Digital Currency Group, Techstars, Intel Capital, Verizon Ventures","Reno, Nevada, United States",
Nudge.ai,https://www.crunchbase.com/organization/nudge-2,"B2B, CRM, Sales, Sales Automation, Social CRM, Software",Nudge is a Modern Sales Platform that leverages relationship strength to help you find and keep your best customers.,6500000,CAD,4970448,Seed,"9,064",1,http://www.linkedin.com/company/nudgeai,https://nudge.ai,"Paul Teshima, Steven Woods",Less than $1M,-0.3,"OMERS Ventures, Jill Rowley, Neal Dempsey, Bradford Woloson","Toronto, Ontario, Canada",
Aiden,https://www.crunchbase.com/organization/aiden-2,"Analytics, Artificial Intelligence, Computer, Marketing, Marketing Automation, SaaS, Software",Aiden provides an AI analytics platform intended to assist marketers how to spend their budget efficiently.,1400000,EUR,1601801,Seed,"14,044",2,https://www.linkedin.com/company/aiden.ai/,http://aiden.ai/,"Marie Outtier, Pierre-Jean Camillieri",,-1,"Partech, Kima Ventures, Sophia Bendz, Pierre Valade, Nicolas Pinto","London, England, United Kingdom",
Wit.ai,https://www.crunchbase.com/organization/wit-ai,"Artificial Intelligence, Computer, Developer APIs, Machine Learning, Software",Wit.ai makes it easy for developers to build a Siri-like speech interface for their app or device.,3000000,USD,3000000,Seed,"14,491",2,http://www.linkedin.com/company/wit-ai,https://www.wit.ai/,"Alexandre Lebrun, Laurent Landowski, Willy Blandin",,2.9,"Y Combinator, Andreessen Horowitz, SV Angel, TenOneTen Ventures, New Enterprise Associates (NEA)","Palo Alto, California, United States",
Dashride,https://www.crunchbase.com/organization/dashride,"Public Transportation, Railroad, Software, Transportation","Dashride is an automated dispatching platform for taxi, limo, and rideshare fleets.",,,,Seed,"14,865",4,http://www.linkedin.com/company/dashride,,"Joseph Thibeault, Mags Magnoli, Nadav Ullman, Tom Bachant",Less than $1M,0,"Entrepreneurs Roundtable Accelerator, Loeb.nyc","New York, New York, United States",
SurchX,https://www.crunchbase.com/organization/surchx,"E-Commerce, FinTech, Payments, Retail Technology, Software",SurchX's credit card fee recovery solution helps merchants regain control of their margins.,3000000,USD,3000000,Seed,"16,810",1,https://www.linkedin.com/company/surchx/,https://www.surchx.com/,Robert Maynard,,-0.2,,"Phoenix, Arizona, United States",
CareSkore,https://www.crunchbase.com/organization/careskore,"Analytics, Big Data, Consulting, Health Care, Information Technology, mHealth, Mobile, Predictive Analytics, SaaS, Software",AI based Patient engagement 2.0,4300000,USD,4300000,Seed,"19,204",2,https://www.linkedin.com/company/care-skore,http://www.careskore.com,"Jas Grewal, Puneet Grewal",,-0.2,"Y Combinator, Liquid 2 Ventures, Rising Tide, Storm Ventures, Cota Capital","Mountain View, California, United States",
Connect,https://www.crunchbase.com/organization/connect-com,"Local, Messaging, Mobile, Social, Software",Connect is a location-powered messaging app that brings together friends from your phone and social media.,10300000,USD,10300000,Series A,"19,754",5,,http://www.connect.com,"Anima Sarah LaVoy, Caen Contee, Lilia Tamm, Ryan Allis",,0,"Marc Benioff, LAUNCH, Fosun RZ Capital, Jason Calacanis, Brad Feld","San Francisco, California, United States",
