IPO Status,Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,CB Rank (Company),Number of Funding Rounds,LinkedIn,Website,Founders,Estimated Revenue Range,Trend Score (90 Days),Top 5 Investors
Private,Five to Nine,https://www.crunchbase.com/organization/five-to-nine,"B2B, Communities, Employee Benefits, Millennials, SaaS, Social","Chicago, Illinois, United States",Five to Nine is a culture engagement solution that increases workplace connectivity and inclusion. ,25000,USD,25000,Seed,"1,404",3,https://www.linkedin.com/company/10057324,http://fivetonine.co,"Denise Umubyeyi, Jasmine Shells",Less than $1M,9.6,"Kapor Capital, Quake Capital Partners, Sterling Road, Chicago Early Growth Ventures (CEGV)"
Private,App n Tap,https://www.crunchbase.com/organization/app-n-tap,"B2B, B2C, Content, Content Delivery Network, Content Marketing, SaaS, SEO, Software","New Delhi, Delhi, India","Content empowers Advertising, Content empowers Marketing, Content empowers the Product but what empowers the Content?  You and App N Tap!",26217,USD,26217,Pre-Seed,"1,705",1,https://www.linkedin.com/company/appntap/,https://www.appntap.in,Prakhar Porwal,,8.6,Prakhar Porwal
Private,Frubana,https://www.crunchbase.com/organization/frubana,"B2B, E-Commerce, E-Commerce Platforms, Logistics, Restaurants","Bogotá, Distrito Especial, Colombia",Frubana is a B2B platform of agri-products and packed goods for restaurants and small retailers in LatAm.,25000000,USD,25000000,Series A,"2,346",3,https://www.linkedin.com/company/frubana/,http://www.frubana.com,Fabian Gomez Gutierrez,$1M to $10M,-0.6,"Y Combinator, SoftBank, GGV Capital, Monashees, Tiger Global Management"
Private,Hypersonix,https://www.crunchbase.com/organization/hypersonix-inc,"Analytics, Artificial Intelligence, B2B, Business Intelligence, SaaS","San Jose, California, United States",Hypersonix is an AI-backed autonomous analytics platform created to help businesses better analyze consumer commerce data.,11500000,USD,11500000,Series A,"2,356",2,https://www.linkedin.com/company/hypersonix-ai,http://www.hypersonix.ai,Prem Kiran,,4.8,"Intel Capital, Gokul Rajaram, Firebolt Ventures, Happiness Ventures, Sherpalo Ventures"
Private,1sm,https://www.crunchbase.com/organization/1sm,"Analytics, B2B, Marketing, Sales, Software","New York, New York, United States",1sm is the Only Revenue Operations Analytics Platform,375000,USD,375000,Pre-Seed,"3,293",1,https://www.linkedin.com/company/1smHQ,https://1sm.io,"Chris Lonardo, James Weitzman, Jordan Josloff",,9.9,"Techstars, Jenny Fielding, Tim Geisenheimer, Josh Dunham, Michael Ruskin"
Private,GudangAda,https://www.crunchbase.com/organization/gudangada,"B2B, E-Commerce, Internet, Logistics, Marketplace, Supply Chain Management","Jakarta, Jakarta Raya, Indonesia",GudangAda is an online B2B marketplace for fast-moving consumer goods (FMCG).,25400000,USD,25400000,Series A,"3,798",2,https://www.linkedin.com/company/gudangada,https://www.gudangada.id/,Steven Sang,,-1.9,"Sequoia Capital India, Pavilion Capital, Wavemaker Partners, Alpha JWC Ventures"
Private,Emotive,https://www.crunchbase.com/organization/emotive-6026,"B2B, B2C, Marketing Automation, Natural Language Processing, SaaS","Los Angeles, California, United States","Emotive is a computer software company that provides SaaS, Mobile Marketing, NLP, machine learning, and B2B.",5500000,USD,5500000,Series A,"3,881",2,https://www.linkedin.com/company/emotiveio,https://emotive.io/,"Brian Zatulove, Zach Wise",,4.6,"Floodgate, TenOneTen Ventures, Mucker Capital, Brian Lee, Neil Young"
Private,Telio.vn,https://www.crunchbase.com/organization/telio-vn,"B2B, E-Commerce, Fast-Moving Consumer Goods, Retail, Retail Technology","Hanoi, NA - Vietnam, Vietnam",Telio is a business-to-business commerce platform that provides a range of products for groceries.,25000000,USD,25000000,Series A,"4,434",2,https://www.linkedin.com/company/telio-viet-nam/,https://www.telio.vn/,Sy Phong Bui,,0.7,"GGV Capital, Tiger Global Management, Sequoia Capital India, RTP Global, Surge"
Private,Greyparrot,https://www.crunchbase.com/organization/greyparrot-ai,"Artificial Intelligence, B2B, Computer Vision, Information Technology, Machine Learning, Recycling, Software, Waste Management","London, England, United Kingdom",AI-based computer vision solutions to power next generation robotics and smart systems for the waste management industry,2750000,GBP,3372350,Seed,"4,861",2,https://www.linkedin.com/company/19044235,https://greyparrot.ai,"Ambarish Mitra, Marco Paladini, Mikela Eskenazi, Nikola Sivacki",,8.6,"Creative Destruction Lab, Speedinvest, Force Over Mass Capital"
Private,Sary,https://www.crunchbase.com/organization/sary,"B2B, E-Commerce, Internet, Marketplace, Procurement, Wholesale","Dammam, Ash Sharqiyah, Saudi Arabia",Sary is a B2B marketplace that connects small businesses with suppliers seamlessly.,6600000,USD,6600000,Series A,"5,339",4,https://www.linkedin.com/company/saryapp/,https://www.sary.com,"Khaled Alsiari, Mohammed Aldossary",,-1.2,"MSA Capital, Raed Ventures, Musaab Hakami, Derayah Capital"
Private,Symbl.ai,https://www.crunchbase.com/organization/rammer-ai,"Artificial Intelligence, B2B, Developer APIs, SaaS","Seattle, Washington, United States","Rammer.ai is an early-stage, venture-backed startup that is democratizing access to conversational intelligence for developers.",1800000,USD,1800000,Seed,"6,076",1,https://www.linkedin.com/company/symblai/,https://symbl.ai,"Surbhi Rathore, Toshish Jawale",Less than $1M,6.5,"Techstars, Revel Partners, Flying Fish Partners, Techstars Seattle Accelerator, Nirav Desai"
Private,NextRetreat,https://www.crunchbase.com/organization/wolfhouse,"B2B, Business Travel, Hospitality, Travel, Travel Accommodations, Wellness","London, England, United Kingdom","Travel Booking site, designed for teams.",600000,USD,600000,Seed,"6,163",1,https://www.linkedin.com/company/nextretreat,https://NextRetreat.com,Martin Studencan,,9.9,Vision Ventures
Private,Upflow,https://www.crunchbase.com/organization/upflow,"B2B, Billing, E-Commerce Platforms, Financial Services, FinTech, Payments, SaaS","Paris, Ile-de-France, France",Upflow is a technology company building a payment platform for B2B businesses.,,,,Seed,"6,369",4,https://www.linkedin.com/company/upflowhq/,https://www.upflow.io,"Alexandre Louisy, Barnaby Malet, Thibaud Elziere",Less than $1M,-1.3,"Y Combinator, eFounders, Kima Ventures, AltaIR Capital"
Private,XCLAIM,https://www.crunchbase.com/organization/xclaim,"B2B, Enterprise, Financial Exchanges, Financial Services, FinTech, Legal Tech","Los Angeles, California, United States",XCLAIM revolutionizes the bankruptcy claims market by introducing digital efficiencies of scale.,4000000,USD,4000000,Seed,"7,815",2,https://www.linkedin.com/company/xclaiminc,http://www.x-claim.com,Matthew Sedigh,Less than $1M,-0.5,"First Round Capital, Luma Launch, Freestyle Capital, PLG Ventures, Friends and Family"
Private,Vivun Inc,https://www.crunchbase.com/organization/vivun-inc,"Artificial Intelligence, B2B, CRM, Enterprise Software, Information Technology, Internet, Machine Learning, SaaS, Software","Oakland, California, United States","Vivun has created the world's first software for presales, designed to transform how B2B technology companies go to market.",3000000,USD,3000000,Seed,"7,946",1,https://www.linkedin.com/company/vivun/,https://www.vivun.com,"Claire Bruce, Dominique Darrow, John Bruce, Joseph Miller, Matthew Darrow",Less than $1M,1.5,"Unusual Ventures, Firebolt Ventures"
Private,Libeo,https://www.crunchbase.com/organization/libeo-bb61,"B2B, Billing, Financial Services, FinTech, Payments, SaaS","Paris, Ile-de-France, France",Libeo is on a mission to simplify processing and payment of account payables for SMEs.,4000000,EUR,4342487,Venture - Series Unknown,"8,299",2,https://www.linkedin.com/company/12627004/,https://www.libeo.io,"Jeremy Attuil, Pierre Dutaret, Pierre-Antoine Glandier",,-3.4,"LocalGlobe, Breega"
Private,Spekit,https://www.crunchbase.com/organization/spekit-inc,"B2B, Big Data, Corporate Training, CRM, Enterprise Software, Knowledge Management, SaaS, Software, Training","Denver, Colorado, United States","Spekit helps employees learn their tools and navigate process changes by accessing answers and resources in real-time, everywhere they work.",,,,Seed,"8,593",3,https://www.linkedin.com/company/spekit/,https://spekit.co,"Melanie Fellay, Zari Zahra",$10M to $50M,-0.1,"Operator Collective, Bonfire Ventures, Matchstick Ventures, Dan Scheinman"
Private,MaxAB,https://www.crunchbase.com/organization/maxab,"B2B, E-Commerce, Internet, Marketplace","Cairo, Al Qahirah, Egypt",MaxAB is a B2B e-commerce marketplace that connects food and grocery retailers to suppliers.,6200000,USD,6200000,Seed,"8,648",3,https://www.linkedin.com/company/maxab/,https://www.maxab.io/,"Belal EL-Megharbel, Mohamed Ben Halim",,0.4,"500 Startups, BECO Capital, Endure Capital, Outlierz Ventures, 4DX Ventures"
Private,OpenPhone,https://www.crunchbase.com/organization/openphone,"B2B, SaaS, Software, Telecommunications","San Francisco, California, United States",Phone app for businesses and professionals,2000000,USD,2000000,Seed,"8,725",2,https://www.linkedin.com/company/openphone/,https://www.openphone.co/,"Daryna Kulya, Mahyar Raissi",Less than $1M,-0.3,"Y Combinator, Slow Ventures, Garage Capital, Kindred Ventures, 122WEST VENTURES"
Private,Bloobirds,https://www.crunchbase.com/organization/bloobirds,"B2B, Business Development, SaaS, Sales, Sales Automation, Software","Barcelona, Catalonia, Spain",Bloobirds offers an all-in-one outbound management sales platform.,3000000,EUR,3270503,Series A,"9,148",2,https://www.linkedin.com/company/bloobirds/,http://www.bloobirds.com,"Javier Darriba, Toni Cáliz, Toni Perez Navarro",,6.2,"K Fund, Encomenda VC, PROfounders Capital, Jan Brickman"
Private,Chiper,https://www.crunchbase.com/organization/chiper,"B2B, E-Commerce, Retail, Retail Technology","Cundinamarca, Distrito Especial, Colombia",We are a platform that enables corner stores  in Latin America to grow and thrive.,2030000,USD,2030000,Series A,"9,919",2,https://www.linkedin.com/company/chipersas,https://chiper.co/,Jose Bonilla,,3.8,"Monashees, GE32 Capital"
Private,Spiral,https://www.crunchbase.com/organization/spiral-technologies,"Artificial Intelligence, B2B, Customer Service, Machine Learning, SaaS, Software","Seattle, Washington, United States",Spiral is a software company which is focused on building solutions for scanning customer feedback using AI.,2400000,USD,2400000,Seed,"10,360",3,https://www.linkedin.com/company/usespiral/,https://www.spiralup.co,"Andrew DiLosa, Elena Zhizhimontova",Less than $1M,1,"Alumni Ventures Group, Techstars, Amazon Alexa Fund, Bezos Expeditions, Kevin Mahaffey"
Private,AInnovation,https://www.crunchbase.com/organization/ainnovation,"Artificial Intelligence, B2B, Information Technology, Machine Learning, Software","Haidian, Beijing, China",AInnovation owns and operates a company that offers products and services based on artificial intelligence to different companies.,400000000,CNY,57229518,Series B,"10,363",3,,https://www.ainnovation.com/,"Faen Zhang, Hocking Xu",$50M to $100M,-0.2,"SAIF Partners, Sinovation Ventures, Chengwei Capital, CreditEase Fintech Investment Fund, CICC Alpha"
