Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,CB Rank (Company),Number of Funding Rounds,LinkedIn,Website,Founders
Bright Machines,https://www.crunchbase.com/organization/bright-machines,"Computer, Information Technology, Machine Learning, Manufacturing, Robotics, Software","San Francisco, California, United States","Bright Machines brings together flexible factory robots with intelligent software, production data and machine learning.",179000000,USD,179000000,Series A,"27,640",1,https://www.linkedin.com/company/bright-machines/,https://www.brightmachines.com,Amar Hanspal
Nuvia,https://www.crunchbase.com/organization/nuvia-ed93,"Data Center, Electronics, Information Technology, Semiconductor, Software","Santa Clara, California, United States",Nuvia develops processors intended to create high-performance silicon design for a compute-intensive world.,53000000,USD,53000000,Series A,"3,520",1,https://www.linkedin.com/company/nuviainc/,https://nuviainc.com/,"Gerard Williams III, John Bruno, Manu Gulati"
Vianai,https://www.crunchbase.com/organization/vianai,"Artificial Intelligence, Computer, Information Technology, Intelligent Systems, Machine Learning, Software","Palo Alto, California, United States",Vianai provides enterprise artificial intelligence solutions.,50000000,USD,50000000,Seed,"7,761",1,https://www.linkedin.com/company/vianai/,https://www.vian.ai/,Vishal Sikka
Kodiak Robotics,https://www.crunchbase.com/organization/kodiak-robotics-inc,"Autonomous Vehicles, Information Technology, Logistics, Robotics, Software","Mountain View, California, United States",Kodiak Robotics develops autonomous technology for long-haul trucking.,40000000,USD,40000000,Series A,"32,222",1,https://www.linkedin.com/company/kodiakrobotics/,http://www.kodiak.ai,"Don Burnette, Paz Eshel"
Contentstack,https://www.crunchbase.com/organization/contentstack,"CMS, Content, Content Delivery Network, Digital Marketing, Information Technology, SaaS, Software","San Francisco, California, United States",Contentstack develops a cloud based content management system intended to power omnichannel content.,31500000,USD,31500000,Series A,"4,025",2,https://www.linkedin.com/company/contentstack/,http://www.contentstack.com/,"Matthew Baier, Neha Sampat, Nishant Patel"
Beyond Identity,https://www.crunchbase.com/organization/beyond-identity,"Computer, Cyber Security, Identity Management, Network Security, Security, Software","New York, New York, United States",Beyond Identity provides passwordless identity management solutions.,30000000,USD,30000000,Series A,"22,511",1,https://www.linkedin.com/company/beyond-identity-inc/,https://www.beyondidentity.com/,"James Clark, Thomas Jermoluk"
Observe.AI,https://www.crunchbase.com/organization/observe-ai,"Artificial Intelligence, Call Center, Machine Learning, Natural Language Processing, SaaS, Software, Speech Recognition","San Francisco, California, United States","Observe.AI develops a voice AI platform for contact centers, turning agents into top performers.",26000000,USD,26000000,Series A,"1,132",4,https://in.linkedin.com/company/observeai,https://observe.ai/,"Akash Singh, Sharath Keshava Narayana, Swapnil Jain"
Bison Trails,https://www.crunchbase.com/organization/bison-trails,"Blockchain, Infrastructure, Internet, Software","Brooklyn, New York, United States",Bison Trails allows the user to run secure infrastructure on multiple blockchains.,25500000,USD,25500000,Series A,"2,335",2,https://www.linkedin.com/company/bison-trails/,https://bisontrails.co/,"Aaron Henshaw, Joe Lallouz"
Compound,https://www.crunchbase.com/organization/compound-labs,"Blockchain, Cryptocurrency, Ethereum, Finance, FinTech, Internet, Software","San Francisco, California, United States",Compound is an open-source interest rate protocol that unlocks new financial applications.,25000000,USD,25000000,Series A,"3,776",2,https://www.linkedin.com/company/compoundfinance/,https://compound.finance,"Geoffrey Hayes, Robert Leshner"
Kerauno,https://www.crunchbase.com/organization/kerauno,"Consumer Electronics, Information Technology, Internet, Software, Telecommunications","Indianapolis, Indiana, United States",Kerauno is a unified communications tool that optimizes business workflows and improves productivity.,25000000,USD,25000000,Series A,"16,136",1,https://www.linkedin.com/company/kerauno/,https://www.kerauno.io/,"Jason Ross, Josh Ross"
