Organization Name,Organization Name URL,Industries,Description,CB Rank (Company),LinkedIn,Website,Founders,Headquarters Location
MSharp Holdings,https://www.crunchbase.com/organization/msharp-holdings,,HoldCo,"986,029",,,"Martijn Verhaegen, Martyn Verhaegen","Dordrecht, Zuid-Holland, The Netherlands"
NABERmedia,https://www.crunchbase.com/organization/nabermedia,"Advertising, Marketing",NABERmedia is a Marketing Company.,"985,195",https://www.linkedin.com/company/naber_media/,,,"London, England, United Kingdom"
mybradz.com,https://www.crunchbase.com/organization/mybradz-com,E-Commerce,"Creating a new gender of market place, shop in shop, c2c and b2c","985,144",,https://www.mybradz.com,Ylan cattan,"Paris, Ile-de-France, France"
PideAbogado,https://www.crunchbase.com/organization/pideabogado,"Advice, Legal",PideAbogado provide FREE advice to users who need the services of a specialist lawyer.,"983,815",,http://pideabogado.wixsite.com/pideabogadoweb,,"Alicante, Comunidad Valenciana, Spain"
Parable Works,https://www.crunchbase.com/organization/parable-works,Advertising,"Parable Works is an agency that specializes in brand consultancy, TV productions, PR & brand storytelling & communication services.","983,757",https://www.linkedin.com/company/parable-works/,http://parableworks.com/,,"London, England, United Kingdom"
Produktief,https://www.crunchbase.com/organization/produktief,Music,Providing Artist Handling professionals for the Dance Event industry.,"983,447",,,Lennaert Jonkers,"Markelo, Overijssel, The Netherlands"
SoFull Events,https://www.crunchbase.com/organization/sofull-events,"Event Management, Event Promotion, Events",Event Company,"983,126",,,Julien Hazan,"Paris, Ile-de-France, France"
Envision Homes,https://www.crunchbase.com/organization/envision-homes,Real Estate,"Envision Homes Ltd is a limited liability company registered in London, United Kingdom.","982,730",,,,"London, England, United Kingdom"
PersOncoGene,https://www.crunchbase.com/organization/personcogene,Health Care,PersOncoGene is a Health Care Company.,"982,585",,,,"Orinda, California, United States"
Reclamaclick,https://www.crunchbase.com/organization/reclamaclick,"Legal, Professional Services",Reclamaclick is a web and mobile application that helps consumers to find no fee lawyers.,"982,464",https://www.linkedin.com/company/reclamaclic,https://www.reclamaclick.com/,,"Madrid, Madrid, Spain"
Jasseo.be,https://www.crunchbase.com/organization/jasseo-be,Advertising,SEO-copywriting Agency | SEO-bureau,"982,414",,https://jasseo.be,,"Antwerpen, Antwerpen, Belgium"
Mojave Ghost,https://www.crunchbase.com/organization/mojave-ghost,,Original artwork,"982,387",,https://www.etsy.com/shop/MojaveGhost,Darla Catalfamo,"Prescott Valley, Arizona, United States"
PrecosRO,https://www.crunchbase.com/organization/precosro,Information Technology,Price comparator for small and medium-sized business with opportunity to cover fields not exploited by the competition.,"982,106",,http://www.precosro.com.br,,"London, England, United Kingdom"
The Toronto Painters,https://www.crunchbase.com/organization/the-toronto-painters,Real Estate,The Toronto Painters is a well established painting company based on Toronto.,"981,665",https://www.linkedin.com/company/toronto-painters/,https://thetorontopainters.ca/,,"Toronto, Ontario, Canada"
"Dasher & Padgett Financial Advisors, Inc.",https://www.crunchbase.com/organization/dasher-padgett-financial-advisors-inc,"Banking, Consulting, Financial Services","Wealth Management, Federal Employees","981,432",,,,"Albany, Georgia, United States"
Peter Moua,https://www.crunchbase.com/organization/peter-moua,"Advertising, Internet, Web Design",Marketing your website with Search Engine Optimization. Where we take you to the next level.,"981,413",,http://madewithheight.com/,,"Chippewa Falls, Wisconsin, United States"
primaryschools.ie,https://www.crunchbase.com/organization/primaryschools-ie,"Application Performance Management, Education",primaryschools.ie is a software development and consultancy company that focuses on improving education application processes.,"981,211",https://www.linkedin.com/company-beta/10229475/,http://www.primaryschools.ie,,"Dublin, Dublin, Ireland"
Heights Music,https://www.crunchbase.com/organization/heights-music,"Media and Entertainment, Music",Heights Music is an Independent Record Label providing a major service independently.,"981,136",,http://www.londonheightsmusicgroup.com/,Carlos Gravesande,"London, England, United Kingdom"
Who Is Best Looking?,https://www.crunchbase.com/organization/who-is-best-looking,Apps,"An app that offers for vote, who is best looking, based on two pictures, then repeat.  For social experiment, and for fun.","981,015",,,,"Rockford, Illinois, United States"
